Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2		
ENSG00000254251.1	RP11-662G23.1	antisense	-8.508765809	1.853123329	2.85E-95	4.74E-94	0.010404951	-1	182	260	231	0	0	0	0	0	0	0	1	0		
ENSG00000261716.1	RP11-196G18.22	sense_overlapping	-3.932284019	3.461870161	3.29E-92	5.25E-91	0.0133083	-1	559	618	674	29	39	51	38	30	31	16	37	34		
ENSG00000227036.4	LINC00511	lincRNA	3.788699413	4.468707712	5.42E-92	8.64E-91	0.012071597	1	30	48	28	328	390	459	499	471	356	330	405	299		
ENSG00000272327.1	RP11-1002K11.1	lincRNA	8.983334684	2.934950062	6.19E-92	9.86E-91	0.016853703	1	0	1	0	100	140	145	148	107	105	117	186	212		
ENSG00000274173.1	RP4-568C11.4	lincRNA	-8.696086161	2.787772684	1.42E-88	2.19E-87	0.027922955	-1	455	488	382	0	1	1	6	4	0	0	0	2		
ENSG00000237523.1	LINC00857	lincRNA	7.843437642	3.021239973	7.16E-88	1.10E-86	0.011843808	1	0	1	1	148	146	201	165	130	151	107	163	127		
ENSG00000248890.1	HHIP-AS1	antisense	7.150556051	2.536469392	6.67E-86	9.81E-85	0.008923349	1	0	1	2	74	119	107	115	106	88	105	131	108		
ENSG00000251003.5	ZFPM2-AS1	processed_transcript	5.351196563	3.000260102	4.04E-84	5.81E-83	0.011446562	1	2	7	5	109	175	150	150	146	160	122	162	131		
ENSG00000270069.1	MIR222HG	lincRNA	5.702063626	3.433310858	5.64E-84	8.08E-83	0.013524472	1	8	2	2	185	260	280	207	187	197	123	153	181		
ENSG00000226167.1	AP4B1-AS1	antisense	-10.31527842	1.610619895	1.53E-82	2.16E-81	0.011494605	-1	142	225	194	0	0	0	1	0	0	0	0	0		
ENSG00000269821.1	KCNQ1OT1	antisense	-3.050028226	5.137916015	1.69E-82	2.39E-81	0.013350222	-1	1791	1762	1965	138	219	248	146	128	125	139	166	171		
ENSG00000204054.9	LINC00963	processed_transcript	-2.881390124	4.395918692	6.44E-81	8.93E-80	0.010751027	-1	716	1131	1129	120	189	176	137	114	136	70	130	86		
ENSG00000240476.1	LINC00973	lincRNA	8.548260719	2.919817889	1.21E-80	1.67E-79	0.014322011	1	0	0	1	130	123	143	193	147	127	116	138	124		
ENSG00000232803.1	SLCO4A1-AS1	antisense	7.663952476	3.12539115	8.15E-78	1.08E-76	0.013352441	1	0	2	0	114	210	176	240	195	158	104	140	105		
ENSG00000218416.4	PP14571	processed_transcript	-9.996841859	1.321537725	1.09E-75	1.42E-74	0.009301542	-1	126	166	155	0	1	0	0	1	0	0	0	0		
ENSG00000223784.1	RP11-554I8.2	lincRNA	8.773847157	2.624857544	2.99E-73	3.68E-72	0.023742772	1	0	0	1	84	88	117	99	106	71	115	230	110		
ENSG00000205181.5	LINC00654	lincRNA	8.20712212	2.745106843	2.47E-72	3.02E-71	0.0116608	1	0	0	1	92	149	137	137	157	132	84	131	87		
ENSG00000246228.4	CASC8	antisense	3.963409576	2.734354137	4.72E-71	5.67E-70	0.009682303	1	5	17	16	90	113	142	104	103	92	125	179	119		
ENSG00000197308.6	GATA3-AS1	lincRNA	-8.00679036	2.158656882	7.23E-71	8.66E-70	0.028087712	-1	174	388	293	0	1	0	0	0	0	0	1	1		
ENSG00000247134.4	RP11-11N9.4	lincRNA	9.872498861	2.456016866	1.89E-68	2.20E-67	0.013092074	1	0	0	0	65	100	115	126	118	90	66	138	91		
ENSG00000224184.3	AC096559.1	lincRNA	9.72276474	3.091535582	4.95E-68	5.71E-67	0.009592795	1	0	0	0	131	184	184	245	230	171	77	104	81		
ENSG00000247271.4	ZBED5-AS1	antisense	2.952013985	3.973145917	1.68E-67	1.92E-66	0.009462985	1	28	57	47	249	339	337	289	300	245	213	295	213		
ENSG00000215256.3	DHRS4-AS1	antisense	-2.808731432	3.259714905	1.34E-66	1.51E-65	0.009592038	-1	405	494	498	41	49	58	61	44	36	36	57	49		
ENSG00000172965.12	MIR4435-1HG	lincRNA	1.936963002	6.159882642	2.32E-66	2.61E-65	0.007343329	1	263	482	425	944	1389	1456	1429	1302	1157	870	1325	956		
ENSG00000182165.15	TP53TG1	lincRNA	-4.65203633	2.49200802	3.95E-64	4.24E-63	0.021303391	-1	215	441	331	13	8	9	14	11	13	9	10	8		
ENSG00000260896.3	RP11-314O13.1	lincRNA	3.748181967	2.757077003	1.77E-63	1.88E-62	0.009468154	1	11	12	18	63	73	98	147	157	140	114	151	128		
ENSG00000235884.3	LINC00941	lincRNA	7.47101993	2.483913375	4.47E-63	4.72E-62	0.01956696	1	1	0	1	96	106	140	102	92	78	61	158	95		
ENSG00000249859.5	PVT1	lincRNA	-2.179836835	4.433445811	7.47E-63	7.85E-62	0.008235787	-1	742	1085	948	133	171	181	184	148	134	123	191	121		
ENSG00000278709.1	RP5-1059L7.1	antisense	-3.309113151	2.419777379	7.83E-63	8.23E-62	0.009915149	-1	219	330	279	10	22	23	26	19	18	14	27	18		
ENSG00000203706.6	SERTAD4-AS1	antisense	4.08234525	3.143531853	1.29E-62	1.34E-61	0.008511247	1	5	7	14	159	253	257	183	147	136	88	131	98		
ENSG00000273270.1	RP11-212P7.2	lincRNA	-2.987547147	3.44015244	3.65E-62	3.80E-61	0.012474241	-1	396	541	521	91	125	125	39	42	59	42	55	33		
ENSG00000230487.5	PSMG3-AS1	lincRNA	-3.299324526	2.660869023	5.99E-62	6.19E-61	0.010997173	-1	226	369	321	34	38	45	43	26	24	22	23	20		
ENSG00000276170.2	AC124789.1	processed_transcript	8.133604349	2.789924062	2.63E-61	2.69E-60	0.018337273	1	0	0	1	132	142	183	150	132	118	88	137	63		
ENSG00000263753.4	LINC00667	lincRNA	3.126224353	3.588073954	4.60E-61	4.67E-60	0.011246802	1	18	39	39	201	254	271	230	183	177	152	281	167		
ENSG00000278291.1	RP11-172H24.4	antisense	-3.862324454	1.918488533	4.79E-61	4.86E-60	0.01063232	-1	162	243	216	7	10	10	12	5	4	8	16	6		
ENSG00000251574.4	RP11-6N13.1	lincRNA	-10.19959067	1.491095661	1.21E-59	1.20E-58	0.024727059	-1	167	156	184	0	1	0	0	0	0	0	0	0		
ENSG00000126005.13	MMP24-AS1	antisense	2.945486151	5.163121078	2.65E-59	2.59E-58	0.016278667	1	57	103	122	577	737	759	765	689	601	459	718	360		
ENSG00000279207.1	RP11-159D12.8	TEC	-3.0568011	3.535717888	4.70E-59	4.57E-58	0.015757779	-1	584	634	566	56	60	78	41	29	34	34	64	57		
ENSG00000249867.3	RP11-115J23.1	lincRNA	9.677081002	2.155192727	6.81E-58	6.48E-57	0.017036684	1	0	0	0	67	66	115	86	82	65	75	88	89		
ENSG00000228742.7	RP5-884M6.1	lincRNA	9.566265019	2.063237523	9.09E-58	8.62E-57	0.013794123	1	0	0	0	47	78	80	92	77	78	69	111	57		
ENSG00000259527.2	LINC00052	lincRNA	-6.918795444	1.627860859	1.44E-57	1.36E-56	0.026275749	-1	143	173	247	0	0	0	1	0	1	0	3	0		
ENSG00000229124.4	VIM-AS1	antisense	4.073982768	2.632752073	2.58E-55	2.36E-54	0.012212731	1	5	11	10	101	106	152	126	90	113	87	131	97		
ENSG00000206195.8	DUXAP8	processed_transcript	-4.309247504	2.021391618	6.15E-55	5.57E-54	0.01791705	-1	190	264	194	8	16	20	12	13	10	3	8	12		
ENSG00000232759.1	AC002480.3	antisense	7.562902929	1.897300502	2.60E-54	2.32E-53	0.008380106	1	1	0	0	56	80	71	71	68	72	49	80	64		
ENSG00000163364.7	LINC01116	lincRNA	2.92497345	3.735018399	5.07E-54	4.51E-53	0.014553	1	41	68	43	183	205	325	185	169	186	223	334	263		
ENSG00000226380.5	MIR29B1	lincRNA	2.858669575	3.698397699	6.50E-54	5.77E-53	0.01028217	1	34	36	37	240	275	359	228	190	214	140	234	183		
ENSG00000233117.2	LINC00702	lincRNA	9.328765385	2.393081602	3.19E-53	2.81E-52	0.010937518	1	0	0	0	92	159	151	88	90	93	54	83	63		
ENSG00000228065.8	LINC01515	lincRNA	-5.655761407	0.866840403	2.44E-52	2.11E-51	0.007736182	-1	83	116	107	0	1	2	1	0	2	0	2	2		
ENSG00000261183.3	RP11-532F12.5	antisense	-7.289060386	1.527183168	5.39E-52	4.64E-51	0.030966496	-1	101	228	191	1	2	0	1	4	0	0	1	1		
ENSG00000255090.3	RP11-820L6.1	lincRNA	9.28769397	2.118846936	7.76E-52	6.66E-51	0.011196463	1	0	0	0	73	88	78	99	84	97	50	75	69		
ENSG00000240498.4	CDKN2B-AS1	antisense	-9.765271862	1.095966664	1.25E-51	1.07E-50	0.023263842	-1	125	136	115	0	0	0	0	0	0	0	0	0		
ENSG00000234494.5	AC003665.1	antisense	-2.859093033	2.454514381	1.39E-51	1.19E-50	0.00930368	-1	221	261	263	37	39	49	27	21	21	20	30	23		
ENSG00000233237.4	LINC00472	lincRNA	4.345096121	2.413695331	1.79E-51	1.52E-50	0.009440077	1	6	1	9	95	128	164	99	78	71	70	89	77		
ENSG00000272695.1	GAS6-AS2	lincRNA	5.480348813	2.763286422	7.13E-51	6.00E-50	0.025636604	1	8	2	0	112	108	193	167	101	102	87	125	121		
ENSG00000170846.13	AC093323.3	lincRNA	-1.924825505	4.337429607	1.77E-50	1.48E-49	0.008062135	-1	658	921	883	139	151	202	169	131	141	131	179	148		
ENSG00000260761.1	RP11-184E9.2	lincRNA	9.305966963	1.771441244	4.04E-50	3.36E-49	0.013863735	1	0	0	0	47	71	78	62	61	46	47	69	80		
ENSG00000258297.1	RP11-658F2.8	antisense	-4.166220165	1.747667582	2.85E-49	2.32E-48	0.015965196	-1	161	174	175	10	12	22	11	11	11	5	5	10		
ENSG00000269416.3	LINC01224	lincRNA	9.324711648	1.914422614	4.45E-49	3.61E-48	0.016058647	1	0	0	0	46	71	88	92	64	62	70	72	55		
ENSG00000233251.5	AC007743.1	antisense	-9.420688	0.809443746	6.53E-49	5.28E-48	0.015152446	-1	68	123	112	0	0	0	0	0	1	0	0	0		
ENSG00000241111.1	PRICKLE2-AS1	antisense	-6.863779273	1.116091611	4.70E-48	3.75E-47	0.023034436	-1	125	124	124	1	1	1	3	0	0	0	1	1		
ENSG00000247240.5	UBL7-AS1	antisense	-2.99650391	2.099787585	5.22E-48	4.15E-47	0.009767051	-1	161	231	217	19	20	28	22	23	12	12	27	15		
ENSG00000250986.1	AC141928.1	lincRNA	-9.698808126	1.067309749	6.45E-48	5.13E-47	0.025949431	-1	75	142	153	1	0	0	1	0	0	0	0	0		
ENSG00000278231.1	RP5-906C1.1	lincRNA	-9.147928575	0.561324959	8.36E-48	6.63E-47	0.008355466	-1	71	90	87	0	0	0	1	0	0	0	0	0		
ENSG00000235180.1	LINC00601	lincRNA	9.212884759	1.869449077	1.07E-47	8.46E-47	0.014017525	1	0	0	0	62	56	70	76	77	73	61	69	53		
ENSG00000272189.1	RP3-325F22.5	antisense	-7.046545801	0.539132418	7.89E-47	6.12E-46	0.007219908	-1	66	92	86	0	0	0	0	0	0	0	1	0		
ENSG00000249641.2	HOXC13-AS	antisense	-9.157659693	0.578502028	4.32E-46	3.29E-45	0.010224411	-1	63	102	86	1	0	0	0	1	0	0	0	0		
ENSG00000237975.4	FLG-AS1	antisense	6.692325184	1.953742803	5.33E-46	4.05E-45	0.015165413	1	0	1	1	68	58	92	99	75	65	48	78	53		
ENSG00000259673.3	IQCH-AS1	lincRNA	-2.633297845	2.500568514	5.51E-46	4.18E-45	0.009549127	-1	219	286	249	29	33	39	38	28	36	27	32	27		
ENSG00000262074.4	SNORD3B-2	lincRNA	3.861529904	5.009585015	8.02E-46	6.08E-45	0.036341593	1	22	63	61	588	491	612	720	687	548	436	766	299		
ENSG00000234155.1	RP11-30P6.6	lincRNA	6.478168305	1.368529131	1.75E-45	1.32E-44	0.007650029	1	2	0	0	43	44	50	46	40	41	39	61	54		
ENSG00000231419.4	LINC00689	processed_transcript	-7.081296577	0.57265038	3.40E-45	2.54E-44	0.009861571	-1	62	101	88	0	0	0	0	0	0	0	0	1		
ENSG00000260711.2	RP11-747H7.3	sense_intronic	-9.462708626	0.830307269	4.10E-45	3.06E-44	0.022785447	-1	90	92	125	0	0	0	0	0	0	0	0	0		
ENSG00000222041.8	LINC00152	lincRNA	2.097612469	5.804305665	4.12E-45	3.07E-44	0.012657376	1	180	313	297	823	1095	1142	1161	1079	871	740	1054	584		
ENSG00000250697.1	CTD-2066L21.3	lincRNA	7.657769399	1.68019156	9.73E-45	7.18E-44	0.024556082	1	0	1	0	48	46	72	64	45	42	46	109	55		
ENSG00000249042.3	CTD-2015H6.3	antisense	-2.341279586	3.156800321	1.13E-44	8.33E-44	0.01107919	-1	344	411	448	48	53	52	50	45	57	43	67	59		
ENSG00000255774.1	AP000439.3	lincRNA	-9.578162397	0.945983899	1.93E-44	1.41E-43	0.027379336	-1	82	156	100	0	0	0	0	0	0	0	0	0		
ENSG00000257337.4	RP11-983P16.4	antisense	-3.276400643	2.407036944	4.18E-44	3.05E-43	0.018117426	-1	253	262	264	23	27	30	18	23	23	18	15	24		
ENSG00000196756.9	SNHG17	processed_transcript	1.950154829	4.17425058	5.44E-44	3.95E-43	0.008707866	1	92	136	153	180	246	295	329	290	275	315	414	307		
ENSG00000268858.2	RP4-591C20.9	antisense	-2.184655045	3.148752335	9.95E-43	7.08E-42	0.008571	-1	244	379	373	76	108	110	69	76	58	46	62	46		
ENSG00000261437.1	RP11-22C11.2	antisense	-9.511741993	0.872864212	1.13E-42	8.04E-42	0.028021924	-1	108	97	109	0	0	2	0	0	0	0	0	0		
ENSG00000227372.8	TP73-AS1	antisense	8.934337911	1.430690741	2.54E-42	1.79E-41	0.010739817	1	0	0	0	35	58	66	49	41	40	38	73	42		
ENSG00000277476.1	RP11-147L13.13	lincRNA	-3.030450822	3.17103752	1.10E-41	7.62E-41	0.022391108	-1	267	545	493	44	71	78	47	32	49	30	57	25		
ENSG00000269609.3	RPARP-AS1	processed_transcript	-2.297155665	2.976958593	1.59E-41	1.10E-40	0.010921842	-1	282	401	386	39	36	46	61	39	36	51	59	43		
ENSG00000224984.1	RP11-524H19.2	antisense	-9.226018912	0.615529085	8.03E-41	5.47E-40	0.021570899	-1	85	82	92	0	0	0	0	0	0	0	0	0		
ENSG00000271430.1	RP3-368A4.5	sense_intronic	-2.286921539	2.748579736	2.66E-40	1.79E-39	0.008889865	-1	238	273	287	48	60	66	54	48	43	35	41	40		
ENSG00000231574.3	RP11-91K9.1	lincRNA	-9.672375616	1.044533836	3.63E-40	2.44E-39	0.040660582	-1	93	174	93	0	1	0	0	1	2	0	0	0		
ENSG00000242086.6	LINC00969	lincRNA	-2.837963382	2.156694677	4.19E-40	2.81E-39	0.012604027	-1	178	207	231	20	29	24	17	21	26	20	24	17		
ENSG00000250548.4	RP11-47I22.2	lincRNA	8.955105858	1.450650305	4.54E-40	3.04E-39	0.016818106	1	0	0	0	44	38	46	59	55	49	54	50	48		
ENSG00000258168.3	RP11-588H23.3	antisense	6.55540937	1.598366821	5.58E-40	3.73E-39	0.02033085	1	1	0	1	41	48	86	64	57	37	41	68	54		
ENSG00000223764.2	RP11-54O7.3	lincRNA	-6.495749073	0.80521195	7.80E-40	5.19E-39	0.024524042	-1	61	113	123	2	0	1	1	0	0	0	2	0		
ENSG00000234456.5	MAGI2-AS3	processed_transcript	7.226311754	0.981028347	1.33E-39	8.83E-39	0.017035167	1	0	0	1	19	28	31	40	29	18	44	50	57		
ENSG00000260604.2	RP1-140K8.5	lincRNA	-5.038905886	0.726270138	5.65E-39	3.69E-38	0.010515439	-1	71	91	83	8	4	12	3	1	3	1	3	1		
ENSG00000272455.1	RP4-758J18.13	lincRNA	-3.627250017	1.2004455	9.02E-39	5.84E-38	0.011605342	-1	84	134	137	7	6	5	7	3	3	5	10	5		
ENSG00000244219.4	GS1-259H13.2	lincRNA	9.159697934	1.784797587	9.01E-39	5.84E-38	0.028474031	1	0	0	0	45	73	49	71	81	67	59	82	37		
ENSG00000256615.1	RP11-59N23.3	antisense	8.925323003	1.244144868	9.22E-39	5.97E-38	0.017656111	1	0	0	0	25	39	44	47	39	39	28	62	62		
ENSG00000260257.2	RP5-1085F17.3	lincRNA	2.534925959	3.324427617	3.20E-38	2.04E-37	0.015384284	1	40	51	55	157	184	252	143	87	115	155	217	227		
ENSG00000265702.1	RP11-156L14.1	antisense	-5.178533636	1.11450475	3.46E-38	2.20E-37	0.028600374	-1	111	161	100	0	1	1	0	1	0	2	2	3		
ENSG00000275234.1	CTD-2396E7.11	antisense	-6.022797425	0.376597446	4.77E-38	3.03E-37	0.010795962	-1	60	83	68	0	0	0	0	1	1	0	2	0		
ENSG00000269927.1	RP6-91H8.3	lincRNA	8.818033646	1.652059318	9.48E-38	5.96E-37	0.015120736	1	0	0	0	28	64	44	89	82	67	42	58	40		
ENSG00000270170.1	NCBP2-AS2	lincRNA	-1.834175805	3.950870827	1.12E-37	7.04E-37	0.009465171	-1	403	699	583	124	159	173	154	141	135	92	146	95		
ENSG00000237870.4	AC073130.1	processed_transcript	7.366082361	1.62337979	1.64E-37	1.02E-36	0.028365664	1	1	0	0	57	47	85	59	45	44	45	50	71		
ENSG00000267750.3	AC003102.3	antisense	-3.451941964	1.36392113	1.26E-36	7.72E-36	0.012970781	-1	97	149	131	4	17	11	9	11	4	7	7	10		
ENSG00000245060.4	LINC00847	lincRNA	-1.743220111	3.45948774	2.56E-36	1.56E-35	0.007126223	-1	329	443	415	85	109	134	106	84	82	72	97	82		
ENSG00000251257.2	CTD-2263F21.1	antisense	8.681348596	1.86716878	4.10E-36	2.48E-35	0.012502674	1	0	0	0	66	88	108	79	67	67	45	53	29		
ENSG00000251136.6	RP11-37B2.1	lincRNA	-2.196147353	2.976563155	6.47E-36	3.90E-35	0.011817939	-1	276	336	337	47	83	67	61	56	48	44	69	35		
ENSG00000236830.4	CBR3-AS1	processed_transcript	-3.206690262	1.621323149	6.50E-36	3.92E-35	0.013528751	-1	116	129	160	13	26	26	19	12	16	9	14	8		
ENSG00000268913.1	AC026806.2	lincRNA	-3.481248301	1.232832941	1.84E-35	1.10E-34	0.012728755	-1	85	120	130	5	10	13	5	12	12	4	11	6		
ENSG00000230091.4	TMEM254-AS1	antisense	-4.264151479	1.090001184	3.16E-35	1.87E-34	0.020485707	-1	73	130	135	1	8	7	3	5	1	3	3	6		
ENSG00000254389.3	RHPN1-AS1	antisense	-5.205231595	0.567414848	4.14E-35	2.44E-34	0.012412602	-1	55	84	86	6	2	1	5	5	1	2	1	1		
ENSG00000266869.1	RP6-114E22.1	lincRNA	-8.612000735	0.091427994	5.60E-35	3.29E-34	0.008160756	-1	49	62	60	0	0	0	0	0	0	0	0	0		
ENSG00000224189.4	HAGLR	antisense	3.056841637	1.903602468	1.25E-34	7.29E-34	0.010062345	1	12	10	16	55	65	87	62	47	40	56	89	82		
ENSG00000248771.3	LINC01207	lincRNA	7.331447628	1.396571969	1.26E-34	7.33E-34	0.034389729	1	0	1	0	38	43	65	38	39	42	33	52	78		
ENSG00000266934.1	RP11-332H18.3	sense_intronic	-6.918133411	0.447479553	1.41E-34	8.19E-34	0.022306278	-1	66	66	90	1	1	2	0	0	0	1	0	0		
ENSG00000273132.1	RP11-350J20.12	antisense	6.893456894	2.421886547	1.50E-34	8.70E-34	0.049954194	1	0	0	2	92	141	112	137	113	83	58	122	31		
ENSG00000232638.1	RP11-379F12.4	lincRNA	-7.077742045	0.58846228	1.86E-34	1.08E-33	0.028778724	-1	52	116	86	0	1	0	0	0	0	1	0	0		
ENSG00000273853.1	RP11-438D14.3	sense_intronic	-9.430339545	0.779500868	2.86E-34	1.65E-33	0.046312179	-1	114	93	86	0	0	0	0	0	0	0	0	0		
ENSG00000224870.4	RP4-758J18.2	processed_transcript	-2.090437656	3.493240315	6.81E-34	3.89E-33	0.01341772	-1	293	520	492	89	103	136	95	96	79	69	91	54		
ENSG00000225205.3	AC093818.1	antisense	5.16906268	1.18816484	1.19E-33	6.76E-33	0.005787054	1	1	0	3	34	49	48	41	42	39	30	48	35		
ENSG00000257698.1	RP11-620J15.3	lincRNA	2.605058475	2.317357639	1.95E-33	1.10E-32	0.007531707	1	10	29	17	69	91	91	97	94	89	67	97	78		
ENSG00000249421.1	ADAMTS19-AS1	antisense	-8.720003541	0.190493847	2.09E-33	1.18E-32	0.01855698	-1	41	68	77	0	0	0	0	0	0	0	0	0		
ENSG00000277496.1	RP11-93B14.9	antisense	3.969363683	1.611570409	2.55E-33	1.43E-32	0.013669047	1	4	5	5	38	54	59	79	47	51	44	75	42		
ENSG00000277778.1	PGM5P2	lincRNA	6.90803707	0.90016084	2.75E-33	1.55E-32	0.017008019	1	0	0	1	17	27	45	37	22	29	32	47	43		
ENSG00000235590.5	GNAS-AS1	antisense	-8.728655453	0.193244892	2.87E-33	1.61E-32	0.019312504	-1	47	60	79	0	0	0	0	0	0	0	0	0		
ENSG00000261324.2	RP11-174G6.5	sense_overlapping	-3.81199901	1.820751745	3.53E-33	1.98E-32	0.03243522	-1	203	182	166	6	4	10	18	11	10	9	7	12		
ENSG00000254231.1	CTD-2284J15.1	processed_transcript	-8.977387084	0.412214655	3.61E-33	2.02E-32	0.030555029	-1	69	92	58	0	1	1	0	0	0	0	0	0		
ENSG00000249395.2	CASC9	lincRNA	-9.107775518	0.500732657	3.63E-33	2.03E-32	0.036105135	-1	87	74	75	0	0	0	0	0	0	0	0	0		
ENSG00000215039.4	CD27-AS1	processed_transcript	-2.074312457	2.647674876	3.89E-33	2.17E-32	0.009253925	-1	189	290	240	54	62	69	42	40	42	26	52	43		
ENSG00000231107.1	LINC01508	lincRNA	-8.955872469	0.386635174	4.64E-33	2.59E-32	0.029811068	-1	63	96	58	0	0	0	0	0	0	0	0	0		
ENSG00000204876.4	AC021218.2	lincRNA	5.481870047	1.623437958	5.31E-33	2.95E-32	0.009172307	1	0	2	1	51	67	61	82	62	70	33	37	38		
ENSG00000272121.1	RP4-555D20.4	lincRNA	8.580705782	1.194646723	5.77E-33	3.21E-32	0.015157944	1	0	0	0	39	39	46	52	42	34	38	54	27		
ENSG00000226137.4	BAIAP2-AS1	lincRNA	-1.885764683	3.316404748	1.28E-32	7.04E-32	0.009650933	-1	241	411	376	91	139	131	87	82	89	56	78	61		
ENSG00000253161.3	RP11-150O12.1	lincRNA	6.867420943	2.234012256	1.43E-32	7.85E-32	0.016820854	1	0	1	0	90	111	150	133	92	86	38	55	26		
