Ensembl_ID	Gene_ID	Gene_Type	logConc	logFC	pVal.Tgw	adj.pVal.Tgw	Tgw.Disp	UpDown.Tgw	MCF7_R1	MCF7_R2	MCF7_R3	MDA_R1	MDA_R2	MDA_R3	MDA_siNS_R1	MDA_siNS_R2	MDA_siNS_R3	MDA_siRunx1_R1	MDA_siRunx1_R1.1	MDA_siRunx1_R1.2
ENSG00000172888.9	ZNF621	protein_coding	-0.944581705	4.39997685	1.44E-10	3.23E-08	0.011583348	-1	370	424	458	303	416	512	196	164	207	182	283	252
ENSG00000169914.5	OTUD3	protein_coding	-1.003025419	3.632924037	1.60E-10	3.42E-08	0.009947955	-1	317	352	368	156	211	250	113	88	75	87	124	114
ENSG00000134363.9	FST	protein_coding	-0.755990469	5.959569397	1.59E-10	3.42E-08	0.008706975	-1	11	16	9	828	1184	1408	657	547	594	1429	2083	1425
ENSG00000164400.5	CSF2	protein_coding	1.579260744	3.695507627	1.55E-10	3.42E-08	0.037586911	1	0	0	1	95	222	127	491	394	306	126	255	112
ENSG00000147408.12	CSGALNACT1	protein_coding	1.025118728	2.959056512	1.61E-10	3.42E-08	0.010228697	1	42	62	49	87	102	100	189	159	182	82	128	117
ENSG00000131018.20	SYNE1	protein_coding	-0.8343146	5.805893373	1.83E-10	3.83E-08	0.01096656	-1	61	51	55	923	1181	1528	615	573	619	977	1336	1290
ENSG00000143878.9	RHOB	protein_coding	0.751902668	7.019990544	2.09E-10	4.21E-08	0.008914354	1	3787	6364	5442	665	856	807	1343	1218	992	1089	1559	1026
ENSG00000138735.13	PDE5A	protein_coding	-1.092705004	4.409612318	2.05E-10	4.21E-08	0.017350405	-1	348	422	372	298	622	529	229	178	193	151	217	232
ENSG00000125741.4	OPA3	protein_coding	-0.960391494	4.624962599	2.07E-10	4.21E-08	0.012848425	-1	419	655	629	365	466	575	238	165	241	217	297	208
ENSG00000038219.10	BOD1L1	protein_coding	-1.172338291	6.277473995	2.24E-10	4.45E-08	0.022965774	-1	1170	1038	1232	1259	1805	2074	592	582	824	754	1109	1169
ENSG00000198910.10	L1CAM	protein_coding	-1.029688933	5.602301899	2.63E-10	5.16E-08	0.016874585	-1	963	1746	2023	615	946	932	351	361	370	238	450	264
ENSG00000197321.12	SVIL	protein_coding	-0.748571535	7.220274225	2.79E-10	5.35E-08	0.009617188	-1	1340	1508	1382	2751	3874	3740	1887	1675	1945	1468	2103	1888
ENSG00000128731.13	HERC2	protein_coding	-0.663459844	6.392008653	2.78E-10	5.35E-08	0.006976002	-1	1459	1945	2150	1218	1445	1761	885	783	834	719	1099	895
ENSG00000115008.5	IL1A	protein_coding	2.092394579	0.912358708	3.40E-10	6.44E-08	0.038123214	1	0	0	0	6	20	15	43	66	46	27	54	24
ENSG00000127914.14	AKAP9	protein_coding	-1.164175501	7.109106033	3.49E-10	6.53E-08	0.023319159	-1	4493	4159	4605	1514	2164	2405	750	673	966	982	1416	1695
ENSG00000274290.1	HIST1H2BE	protein_coding	0.958618022	6.251767159	4.63E-10	8.57E-08	0.015715643	1	1098	2125	1774	573	761	828	1355	1341	1073	813	1297	648
ENSG00000185630.16	PBX1	protein_coding	0.749595679	6.202763692	4.74E-10	8.68E-08	0.008232306	1	2854	3390	3365	321	456	392	674	567	533	505	636	599
ENSG00000105514.5	RAB3D	protein_coding	0.852662277	5.840816142	5.59E-10	1.01E-07	0.009157284	1	2348	3288	3799	165	210	200	384	277	280	208	317	223
ENSG00000233822.4	HIST1H2BN	protein_coding	0.71259152	6.941251623	6.74E-10	1.20E-07	0.008976881	1	707	1156	1120	1285	1698	1723	2648	2359	1954	1769	2650	1621
ENSG00000099331.11	MYO9B	protein_coding	-0.818901345	5.958785294	7.07E-10	1.25E-07	0.011565568	-1	534	866	902	1131	1600	1719	761	698	782	570	831	493
ENSG00000085872.12	CHERP	protein_coding	-0.908300628	3.970036737	7.57E-10	1.32E-07	0.010331623	-1	269	334	386	225	303	349	162	116	140	132	235	156
ENSG00000203814.6	HIST2H2BF	protein_coding	0.720506714	8.163404327	7.71E-10	1.33E-07	0.009530747	1	3074	4761	4703	2839	3310	3815	5399	5259	4171	3677	5380	3293
ENSG00000128567.14	PODXL	protein_coding	-0.669371696	6.917228274	7.89E-10	1.33E-07	0.007966051	-1	804	982	971	2224	2921	3026	1658	1330	1616	1286	2148	1614
ENSG00000102144.11	PGK1	protein_coding	0.602610725	10.21487018	7.85E-10	1.33E-07	0.006819603	1	8389	12188	11281	12712	19595	17801	25075	23782	19343	14130	21473	15349
ENSG00000108465.12	CDK5RAP3	protein_coding	-0.907663802	4.755411714	8.18E-10	1.37E-07	0.010783911	-1	849	1346	1229	219	342	415	170	153	138	105	190	113
ENSG00000116871.13	MAP7D1	protein_coding	-0.802411369	6.312096873	9.29E-10	1.54E-07	0.011431999	-1	469	816	707	1386	2067	2040	945	894	960	1006	1472	866
ENSG00000144791.7	LIMD1	protein_coding	-0.595020931	6.178057108	9.79E-10	1.59E-07	0.005881749	-1	688	970	964	1165	1576	1679	964	831	827	841	1200	859
ENSG00000119596.15	YLPM1	protein_coding	-0.800045569	5.642930627	9.70E-10	1.59E-07	0.010270454	-1	1307	1400	1678	607	776	832	395	368	377	373	576	549
ENSG00000185130.5	HIST1H2BL	protein_coding	1.135875825	7.13001817	1.17E-09	1.87E-07	0.023860854	1	2064	4494	4043	967	1288	1261	2559	2418	1992	1341	2248	945
ENSG00000137776.14	SLTM	protein_coding	-0.957489282	6.02294015	1.53E-09	2.43E-07	0.016340973	-1	1697	1707	1801	791	1087	1311	509	407	538	529	724	813
ENSG00000112715.18	VEGFA	protein_coding	0.955193523	7.084879418	1.63E-09	2.57E-07	0.017357217	1	375	646	502	1406	2175	2184	3436	3494	3004	1422	2649	1176
ENSG00000176171.9	BNIP3	protein_coding	0.608197247	6.942425718	1.65E-09	2.57E-07	0.00680184	1	670	858	797	1277	2052	1965	2731	2362	2114	1554	2191	1969
ENSG00000152104.9	PTPN14	protein_coding	-0.649734554	8.054398852	1.81E-09	2.80E-07	0.008141524	-1	348	412	483	5688	6775	8211	4304	3589	3925	2606	4127	3660
ENSG00000146223.12	RPL7L1	protein_coding	-0.61878474	8.443045013	1.88E-09	2.85E-07	0.007376339	-1	3869	5323	4794	5337	6481	7950	3845	3646	3979	4375	6237	4703
ENSG00000185298.10	CCDC137	protein_coding	-0.729781527	5.00692265	1.88E-09	2.85E-07	0.008040378	-1	551	797	801	451	567	648	327	266	307	315	457	316
ENSG00000181852.15	RNF41	protein_coding	0.783504147	6.4987566	2.14E-09	3.22E-07	0.011481471	1	872	1384	1239	803	1302	1209	1743	1873	1461	1003	1737	984
ENSG00000265972.3	TXNIP	protein_coding	0.831737413	8.368303441	2.29E-09	3.41E-07	0.013561606	1	3470	4194	3797	2949	5076	3723	6246	6919	5513	3846	6450	4167
ENSG00000177225.14	PDDC1	protein_coding	-0.993316149	4.527975362	2.56E-09	3.77E-07	0.016768065	-1	205	374	340	454	500	684	264	208	264	254	270	212
ENSG00000180730.4	SHISA2	protein_coding	0.652601016	5.858185957	2.73E-09	3.99E-07	0.007494981	1	336	467	453	703	803	846	1323	981	1055	770	1069	891
ENSG00000143127.10	ITGA10	protein_coding	-1.518103334	2.461660912	3.12E-09	4.40E-07	0.035914215	-1	4	17	11	150	283	159	74	48	64	39	50	29
ENSG00000125633.8	CCDC93	protein_coding	-0.68099832	5.428658686	3.12E-09	4.40E-07	0.007788957	-1	625	717	750	635	861	1023	504	450	446	409	629	548
ENSG00000175906.4	ARL4D	protein_coding	1.003597127	3.155539359	3.10E-09	4.40E-07	0.013495896	1	10	14	14	91	137	113	245	210	163	131	215	128
ENSG00000197296.5	FITM2	protein_coding	-0.844944322	4.563198806	3.61E-09	5.04E-07	0.011144421	-1	406	580	576	355	442	500	231	169	246	200	310	241
ENSG00000104549.9	SQLE	protein_coding	-0.642625088	7.090036897	3.82E-09	5.28E-07	0.006817415	-1	6227	8120	7811	568	892	925	549	429	388	541	756	684
ENSG00000144674.14	GOLGA4	protein_coding	-1.150258552	7.208820487	4.08E-09	5.59E-07	0.026247153	-1	2774	2537	2913	1995	2980	3710	1069	903	1439	1543	2060	2400
ENSG00000170734.9	POLH	protein_coding	-0.760276704	5.133118355	4.53E-09	6.16E-07	0.010056825	-1	385	488	443	603	670	899	424	338	388	410	533	496
ENSG00000204388.6	HSPA1B	protein_coding	-0.676631142	6.291971829	4.73E-09	6.38E-07	0.008372904	-1	1644	2799	2504	953	1218	1304	750	573	634	638	813	799
ENSG00000184634.13	MED12	protein_coding	-0.690465339	5.111205978	4.87E-09	6.52E-07	0.007774996	-1	633	1039	1005	485	682	743	371	359	326	189	309	228
ENSG00000038382.15	TRIO	protein_coding	-0.535833683	8.049852566	4.93E-09	6.53E-07	0.005750724	-1	2782	3611	3675	4007	5157	5981	3392	2906	3044	3141	4788	3553
ENSG00000100906.8	NFKBIA	protein_coding	0.873503892	7.036417997	5.72E-09	7.52E-07	0.015310093	1	2294	3797	3557	906	1637	1068	2464	1843	1676	1407	1824	1336
ENSG00000197467.11	COL13A1	protein_coding	-0.711510828	6.608052423	6.44E-09	8.40E-07	0.010197026	-1	2	0	3	1970	3074	3329	1497	1437	1573	868	1511	990
ENSG00000178150.6	ZNF114	protein_coding	-1.329125924	2.858262157	6.60E-09	8.53E-07	0.018665748	-1	247	297	291	86	91	99	51	16	33	36	47	41
ENSG00000115919.12	KYNU	protein_coding	0.773457981	6.656811262	6.88E-09	8.83E-07	0.008802623	1	5044	6047	7174	164	252	217	379	312	283	325	408	397
ENSG00000109321.8	AREG	protein_coding	0.848034196	6.462503993	6.99E-09	8.83E-07	0.014239947	1	1461	1890	1529	509	1040	740	1241	1309	1101	1292	1854	1480
ENSG00000146733.11	PSPH	protein_coding	0.91015982	6.078866524	6.99E-09	8.83E-07	0.016640246	1	368	578	468	640	1012	956	1452	1677	1232	831	1428	700
ENSG00000111799.18	COL12A1	protein_coding	-0.781215284	6.38140713	7.17E-09	8.98E-07	0.011464376	-1	2858	3256	3513	802	895	1130	492	439	540	536	768	755
ENSG00000110092.3	CCND1	protein_coding	-0.573554493	9.611754818	7.65E-09	9.44E-07	0.006950233	-1	14625	18995	16824	10331	12128	14972	8059	6966	7513	8264	12023	10079
ENSG00000167716.16	WDR81	protein_coding	-1.219104199	4.060885958	7.59E-09	9.44E-07	0.023453003	-1	401	920	766	150	254	255	109	77	67	76	111	57
ENSG00000204256.10	BRD2	protein_coding	-0.590398405	7.182398155	7.92E-09	9.70E-07	0.006867092	-1	2947	4062	4101	1597	2307	2572	1448	1107	1276	1546	2072	1614
ENSG00000105835.9	NAMPT	protein_coding	0.644136131	8.320077817	7.99E-09	9.70E-07	0.008723679	1	1357	1654	1594	3218	5589	4731	6729	6344	5753	4162	6195	5546
ENSG00000168298.5	HIST1H1E	protein_coding	0.76781585	10.37443374	8.10E-09	9.76E-07	0.01257019	1	4997	8838	7618	14327	19231	18724	30167	27883	22354	19443	30523	16386
ENSG00000276410.1	HIST1H2BB	protein_coding	0.641163655	8.240333298	8.75E-09	1.05E-06	0.008682077	1	35	45	32	3916	4665	5116	7517	6471	5388	4589	6786	4361
ENSG00000181634.7	TNFSF15	protein_coding	1.406875835	2.366905037	9.44E-09	1.12E-06	0.022254918	1	37	60	43	16	41	40	102	64	64	100	138	160
ENSG00000065526.8	SPEN	protein_coding	-0.859898782	5.208364895	9.91E-09	1.13E-06	0.012528766	-1	1324	1394	1633	363	431	495	234	177	227	211	285	286
ENSG00000163235.13	TGFA	protein_coding	0.552778845	6.247482862	9.74E-09	1.13E-06	0.006002969	1	106	134	122	1123	1399	1558	1985	1727	1670	688	1072	873
ENSG00000144810.13	COL8A1	protein_coding	-0.74442599	5.547524048	9.66E-09	1.13E-06	0.010840677	-1	0	2	2	1039	1153	1367	701	549	665	677	827	693
ENSG00000196584.2	XRCC2	protein_coding	-0.904410275	4.52944141	9.74E-09	1.13E-06	0.013922969	-1	491	503	531	333	354	534	216	182	186	223	299	281
ENSG00000018610.11	CXorf56	protein_coding	-0.631970944	5.192303119	9.85E-09	1.13E-06	0.006425282	-1	691	921	894	460	654	689	364	330	344	348	514	398
ENSG00000106484.12	MEST	protein_coding	0.626375584	6.146926007	1.09E-08	1.24E-06	0.006505002	1	2442	3515	3314	297	470	435	588	561	508	483	720	524
ENSG00000185963.11	BICD2	protein_coding	-0.58441197	6.518342123	1.11E-08	1.25E-06	0.006697015	-1	945	1532	1265	1332	1769	1998	1046	981	1005	1169	1668	1274
ENSG00000128191.11	DGCR8	protein_coding	-0.751198465	5.008728126	1.13E-08	1.27E-06	0.009844103	-1	544	849	844	454	506	716	324	282	285	312	401	319
ENSG00000149657.17	LSM14B	protein_coding	-0.608656116	6.197433973	1.20E-08	1.33E-06	0.006783135	-1	1859	2902	2763	782	1007	1050	652	510	517	549	802	557
ENSG00000167110.14	GOLGA2	protein_coding	-0.690498154	6.034494978	1.23E-08	1.35E-06	0.009177466	-1	1247	1747	1706	758	1293	1214	588	569	629	607	937	669
ENSG00000115306.13	SPTBN1	protein_coding	-0.637975313	9.524525661	1.26E-08	1.37E-06	0.008891249	-1	4321	5671	6345	13162	15474	19047	9164	8288	9878	9190	13253	10961
ENSG00000171634.14	BPTF	protein_coding	-0.861374487	7.053169203	1.31E-08	1.41E-06	0.014909562	-1	6281	6036	7314	825	1024	1303	543	492	511	570	718	858
ENSG00000047849.19	MAP4	protein_coding	-0.547272742	7.392449689	1.37E-08	1.47E-06	0.006261269	-1	1373	1739	1858	2632	3625	3930	2101	2040	2064	2052	3031	2371
ENSG00000170322.12	NFRKB	protein_coding	-0.648699219	5.061526427	1.43E-08	1.52E-06	0.007138307	-1	408	636	646	451	660	729	393	331	323	376	538	424
ENSG00000181019.10	NQO1	protein_coding	0.501963618	8.636598613	1.50E-08	1.57E-06	0.005420619	1	8475	12123	10938	3497	4371	4845	6263	5187	4793	3427	4759	4146
ENSG00000105173.11	CCNE1	protein_coding	-0.797307218	3.841635243	1.61E-08	1.66E-06	0.008445119	-1	233	336	286	209	237	301	139	130	117	153	239	165
ENSG00000158545.13	ZC3H18	protein_coding	-0.681483351	4.937286329	1.68E-08	1.72E-06	0.00744797	-1	707	924	967	371	476	546	298	225	256	248	333	291
ENSG00000153714.5	LURAP1L	protein_coding	1.17040921	3.034466212	1.72E-08	1.76E-06	0.010305297	1	289	401	357	18	43	40	75	65	63	53	79	46
ENSG00000130396.18	MLLT4	protein_coding	-0.616090127	6.264397516	1.76E-08	1.78E-06	0.007403969	-1	1815	2092	2141	923	1307	1314	716	653	695	660	942	814
ENSG00000153208.14	MERTK	protein_coding	-0.680345401	4.681262882	1.84E-08	1.85E-06	0.008305204	-1	21	34	15	513	655	752	377	353	342	336	453	402
ENSG00000146909.5	NOM1	protein_coding	-0.689681364	5.618138629	2.01E-08	2.01E-06	0.009273301	-1	564	684	699	710	930	1151	519	487	530	598	845	814
ENSG00000118900.12	UBN1	protein_coding	-0.567989651	6.297155347	2.38E-08	2.37E-06	0.006550626	-1	1227	1701	1757	1281	1490	1679	1037	815	861	646	867	724
ENSG00000140948.9	ZCCHC14	protein_coding	-0.781370713	4.463384948	2.71E-08	2.68E-06	0.009514565	-1	660	742	905	263	321	350	179	155	155	109	167	133
ENSG00000184208.10	C22orf46	protein_coding	-1.442964373	2.161700128	2.92E-08	2.87E-06	0.024590872	-1	92	125	114	69	80	114	15	30	40	25	45	37
ENSG00000169213.6	RAB3B	protein_coding	-1.813360335	1.021120055	3.15E-08	3.07E-06	0.012829132	-1	36	63	46	22	43	30	11	7	6	20	34	23
ENSG00000103550.11	KNOP1	protein_coding	-0.751341266	5.275791126	3.84E-08	3.72E-06	0.010491236	-1	1035	1280	1323	423	515	635	267	249	315	321	458	388
ENSG00000145555.12	MYO10	protein_coding	-0.640991693	7.159907125	3.98E-08	3.80E-06	0.009287736	-1	369	514	592	2546	3004	3673	1803	1568	1910	2103	3230	2480
ENSG00000015133.16	CCDC88C	protein_coding	-0.633136811	5.400098333	3.96E-08	3.80E-06	0.007093637	-1	1097	1556	1376	435	556	684	362	298	306	326	475	432
ENSG00000159433.9	STARD9	protein_coding	-0.877618399	2.666804167	3.96E-08	3.80E-06	0.00940014	-1	19	28	31	116	196	208	86	83	82	62	93	70
